# gene name           KO     thrshld  score   E-value KO definition
* LOC_Os01g10504.3    K09264  133.27  317.0   1.2e-94 MADS-box transcription factor, plant
* LOC_Os01g10600.1    K09874  239.20  436.9  5.6e-131 aquaporin NIP
* LOC_Os01g10610.1    K14503  165.10  308.0   4.8e-92 brassinosteroid resistant 1/2
* LOC_Os01g10690.1    K03504   45.57  300.8   1.6e-89 DNA polymerase delta subunit 3
* LOC_Os01g10790.1    K24748  245.43  469.5  5.8e-141 WD repeat-containing protein 53
* LOC_Os01g10800.1    K23541   38.97  125.5   1.7e-36 Ca2+/H+ antiporter, TMEM165/GDT1 family
* LOC_Os01g10820.1    K02868  215.57  412.5    7e-124 large subunit ribosomal protein L11e
* LOC_Os01g10830.1    K07517  153.27  296.3   1.2e-88 Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]
* LOC_Os01g10840.1    K14502  766.93  801.3  7.1e-242 protein brassinosteroid insensitive 2 [EC:2.7.11.1]
* LOC_Os01g10850.1    K00430  110.93  514.0  3.6e-154 peroxidase [EC:1.11.1.7]
* LOC_Os01g10890.1    K07198  459.93  507.8  3.2e-152 5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.31]
* LOC_Os01g10940.1    K00789   19.60  271.6   8.8e-81 S-adenosylmethionine synthetase [EC:2.5.1.6]
* LOC_Os01g11054.1    K01595   44.63 1182.6         0 phosphoenolpyruvate carboxylase [EC:4.1.1.31]
* LOC_Os01g11054.3    K01595   44.63  770.2  2.1e-231 phosphoenolpyruvate carboxylase [EC:4.1.1.31]
* LOC_Os01g11054.2    K01595   44.63  770.2  2.1e-231 phosphoenolpyruvate carboxylase [EC:4.1.1.31]
* LOC_Os01g11054.4    K01595   44.63  770.2  2.1e-231 phosphoenolpyruvate carboxylase [EC:4.1.1.31]
* LOC_Os01g11070.1    K03846  275.07  590.8  2.8e-177 alpha-1,2-mannosyltransferase [EC:2.4.1.259 2.4.1.261]
* LOC_Os01g11130.1    K10643  100.93  222.0   1.1e-65 CCR4-NOT transcription complex subunit 4 [EC:2.3.2.27]
* LOC_Os01g11150.1    K04125  292.13  366.4  1.1e-109 gibberellin 2beta-dioxygenase [EC:1.14.11.13]
* LOC_Os01g11160.1    K03294  453.67  458.2  2.3e-137 basic amino acid/polyamine antiporter, APA family
* LOC_Os01g11250.1    K21867  357.87  624.9  1.2e-187 potassium channel
* LOC_Os01g11260.1    K01000  182.87  274.2   9.6e-82 phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]
* LOC_Os01g11270.1    K09832  462.50  895.9  3.5e-270 sterol 22-desaturase [EC:1.14.19.41]
* LOC_Os01g11280.1    K09832  462.50  889.6  2.8e-268 sterol 22-desaturase [EC:1.14.19.41]
* LOC_Os01g11300.1    K09832  462.50  901.0    1e-271 sterol 22-desaturase [EC:1.14.19.41]
* LOC_Os01g11340.1    K09832  462.50  959.3  2.2e-289 sterol 22-desaturase [EC:1.14.19.41]
* LOC_Os01g11370.1    K13117  973.23 1110.2         0 ATP-dependent RNA helicase DDX35 [EC:3.6.4.13]
* LOC_Os01g11570.1    K23978   93.70  331.7   4.2e-99 isoamyl acetate esterase [EC:3.1.1.112]
* LOC_Os01g11670.1    K09645  434.80  483.1  7.5e-145 vitellogenic carboxypeptidase-like protein [EC:3.4.16.-]
* LOC_Os01g11860.1    K03152  136.90  258.1   4.1e-77 protein deglycase [EC:3.5.1.124]
* LOC_Os01g11880.1    K03152  136.90  277.4   5.1e-83 protein deglycase [EC:3.5.1.124]
* LOC_Os01g11940.1    K16223  302.80  412.4  8.8e-124 protein FLOWERING LOCUS T
* LOC_Os01g11946.1    K02471  430.57  653.0  3.4e-196 vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein
* LOC_Os01g11946.2    K02471  430.57  532.4    1e-159 vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein
* LOC_Os01g12030.1    K01179   44.23  275.3   7.6e-82 endoglucanase [EC:3.2.1.4]
* LOC_Os01g12070.1    K01179   44.23  272.0   7.6e-81 endoglucanase [EC:3.2.1.4]
* LOC_Os01g12090.1    K02990   23.73   40.3   1.7e-10 small subunit ribosomal protein S6
* LOC_Os01g12130.1    K15382   57.10  275.8   3.3e-82 solute carrier family 50 (sugar transporter)
* LOC_Os01g12210.1    K25841  128.03  571.6  1.4e-171 aluminum-activated malate transporter family protein
* LOC_Os01g12220.1    K23541   38.97   92.8   1.4e-26 Ca2+/H+ antiporter, TMEM165/GDT1 family
* LOC_Os01g12260.1    K02150   87.90  319.1   2.5e-95 V-type H+-transporting ATPase subunit E
* LOC_Os01g12340.1    K15255  133.30  494.5  3.1e-148 ATP-dependent DNA helicase PIF1 [EC:5.6.2.3]
* LOC_Os01g12440.1    K13434  196.73  209.0   6.8e-62 pathogenesis-related genes transcriptional activator PTI6
* LOC_Os01g12440.1    K09286   88.23  144.9   1.7e-42 EREBP-like factor
* LOC_Os01g12470.1    K15119  205.03  331.6     3e-99 solute carrier family 25, member 39/40
* LOC_Os01g12490.1    K11816  311.43  603.4  1.9e-181 indole-3-pyruvate monooxygenase [EC:1.14.13.168]
* LOC_Os01g12520.1    K15109  333.67  383.1  7.8e-115 solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20/29
* LOC_Os01g12540.1    K03977  245.70  300.4   1.2e-89 GTPase
* LOC_Os01g12560.1    K00606   83.60  479.6  4.1e-144 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
* LOC_Os01g12570.1    K00606   83.60  466.3  4.5e-140 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
* LOC_Os01g12660.1    K22530  332.40  382.7  1.7e-114 ATPase family AAA domain-containing protein 1 [EC:3.6.1.-]
* LOC_Os01g12680.4    K26672  407.27  742.1    2e-223 S-type anion channel
* LOC_Os01g12680.2    K26672  407.27  736.0  1.4e-221 S-type anion channel
* LOC_Os01g12680.1    K26672  407.27  736.3  1.2e-221 S-type anion channel
* LOC_Os01g12680.3    K26672  407.27  736.0  1.4e-221 S-type anion channel
* LOC_Os01g12710.1    K13606  278.37  499.1    6e-150 chlorophyll(ide) b reductase [EC:1.1.1.294]
* LOC_Os01g12710.2    K13606  278.37  490.5  2.4e-147 chlorophyll(ide) b reductase [EC:1.1.1.294]
* LOC_Os01g12730.1    K07897  283.00  418.3  9.6e-126 Ras-related protein Rab-7A
* LOC_Os01g12730.2    K07897  283.00  358.4  1.6e-107 Ras-related protein Rab-7A
* LOC_Os01g12790.1    K13420 1119.70 1310.9         0 LRR receptor-like serine/threonine-protein kinase FLS2 [EC:2.7.11.1]
* LOC_Os01g12800.1    K13348  184.80  219.7   3.9e-65 protein Mpv17
* LOC_Os01g12810.1    K17710  328.03  468.5  1.8e-140 pentatricopeptide repeat domain-containing protein 1
* LOC_Os01g12810.3    K17710  328.03  468.5  1.8e-140 pentatricopeptide repeat domain-containing protein 1
* LOC_Os01g12810.4    K17710  328.03  468.5  1.8e-140 pentatricopeptide repeat domain-containing protein 1
* LOC_Os01g12810.2    K17710  328.03  468.5  1.8e-140 pentatricopeptide repeat domain-containing protein 1
* LOC_Os01g12870.1    K15029  472.13  802.2  4.4e-241 translation initiation factor 3 subunit L
* LOC_Os01g12910.1    K17362   79.63  154.6   1.6e-45 acyl-coenzyme A thioesterase 13 [EC:3.1.2.-]
* LOC_Os01g12920.1    K17362   79.63  128.9   1.2e-37 acyl-coenzyme A thioesterase 13 [EC:3.1.2.-]
* LOC_Os01g12940.1    K01243  107.23  140.7   3.9e-41 adenosylhomocysteine nucleosidase [EC:3.2.2.9]
* LOC_Os01g13030.1    K14484   84.70  262.3   2.7e-78 auxin-responsive protein IAA
* LOC_Os01g13030.2    K14484   84.70  262.3   2.7e-78 auxin-responsive protein IAA
* LOC_Os01g13090.4    K18666   87.97  247.0   2.1e-73 activating signal cointegrator complex subunit 1
* LOC_Os01g13090.2    K18666   87.97  246.6   2.8e-73 activating signal cointegrator complex subunit 1
* LOC_Os01g13090.3    K18666   87.97  246.6   2.8e-73 activating signal cointegrator complex subunit 1
* LOC_Os01g13090.1    K18666   87.97  246.6   2.8e-73 activating signal cointegrator complex subunit 1
* LOC_Os01g13100.2    K18666   87.97  364.4    5e-109 activating signal cointegrator complex subunit 1
* LOC_Os01g13100.1    K18666   87.97  366.0  1.6e-109 activating signal cointegrator complex subunit 1
* LOC_Os01g13100.3    K18666   87.97  363.5  9.2e-109 activating signal cointegrator complex subunit 1
* LOC_Os01g13120.1    K09873  271.07  398.7  1.5e-119 aquaporin TIP
* LOC_Os01g13130.1    K09873  271.07  374.9  2.5e-112 aquaporin TIP
* LOC_Os01g13150.1    K00784   95.03  509.4  7.5e-153 ribonuclease Z [EC:3.1.26.11]
* LOC_Os01g13170.1    K10581  287.40  521.6  1.4e-156 ubiquitin-conjugating enzyme E2 O [EC:2.3.2.24]
* LOC_Os01g13190.1    K00013  518.57  705.5    5e-212 histidinol dehydrogenase [EC:1.1.1.23]
* LOC_Os01g13229.1    K06627  340.43  360.3  1.1e-107 cyclin-A
* LOC_Os01g13250.1    K11344   37.37  134.1   4.4e-39 chromatin modification-related protein EAF6
* LOC_Os01g13260.1    K06627  340.43  506.9  3.3e-152 cyclin-A
* LOC_Os01g13270.2    K08286  407.10  458.3  5.2e-137 protein-serine/threonine kinase [EC:2.7.11.-]
* LOC_Os01g13270.1    K08286  407.10  458.3  5.2e-137 protein-serine/threonine kinase [EC:2.7.11.-]
* LOC_Os01g13280.1    K10581  287.40  496.9  4.2e-149 ubiquitin-conjugating enzyme E2 O [EC:2.3.2.24]
* LOC_Os01g13320.1    K01051   80.40  458.3  1.5e-137 pectinesterase [EC:3.1.1.11]
* LOC_Os01g13350.1    K08517  159.87  262.7   2.3e-78 vesicle transport protein SEC22
* LOC_Os01g13350.2    K08517  159.87  262.7   2.3e-78 vesicle transport protein SEC22
* LOC_Os01g13370.1    K04506   87.20  301.0   8.3e-90 E3 ubiquitin-protein ligase SIAH1 [EC:2.3.2.27]
* LOC_Os01g13404.1    K23113  110.37  143.2   3.7e-42 structural maintenance of chromosomes flexible hinge domain-containing protein 1
* LOC_Os01g13404.2    K23113  110.37  142.1   7.9e-42 structural maintenance of chromosomes flexible hinge domain-containing protein 1
* LOC_Os01g13404.3    K23113  110.37  142.7   5.1e-42 structural maintenance of chromosomes flexible hinge domain-containing protein 1
* LOC_Os01g13430.1    K18423  248.57 1056.8         0 exportin-2 (importin alpha re-exporter)
* LOC_Os01g13460.1    K13422  214.30  355.4  3.2e-106 transcription factor MYC2
* LOC_Os01g13470.1    K21444  216.97  402.2  2.2e-120 poly(rC)-binding protein 3/4
* LOC_Os01g13480.1    K17479   64.97  222.2   5.6e-66 glutaredoxin domain-containing cysteine-rich protein 1
* LOC_Os01g13520.1    K14486  179.43  762.6  3.1e-229 auxin response factor
* LOC_Os01g13520.2    K14486  179.43  514.3  3.8e-154 auxin response factor
* LOC_Os01g13550.1    K01177  362.40  624.9  1.3e-187 beta-amylase [EC:3.2.1.2]
* LOC_Os01g13570.1    K15637  115.00  199.2   7.6e-59 serine/threonine-protein phosphatase PGAM5 [EC:3.1.3.16]
* LOC_Os01g13570.2    K15637  115.00  141.8     2e-41 serine/threonine-protein phosphatase PGAM5 [EC:3.1.3.16]
* LOC_Os01g13610.1    K23050  450.47  462.4  2.2e-138 phenylcoumaran benzylic ether reductase [EC:1.3.1.-]
* LOC_Os01g13690.2    K18482  339.27  529.4  5.8e-159 4-amino-4-deoxychorismate lyase [EC:4.1.3.38]
* LOC_Os01g13730.1    K11806  197.40  695.4  6.6e-209 DDB1- and CUL4-associated factor 13
* LOC_Os01g13760.1    K09510  451.20  512.1  6.9e-154 DnaJ homolog subfamily B member 4
* LOC_Os01g13770.3    K15283  268.37  432.8  7.8e-130 solute carrier family 35, member E1
* LOC_Os01g13770.1    K15283  268.37  454.0  2.8e-136 solute carrier family 35, member E1
* LOC_Os01g13770.2    K15283  268.37  351.9  2.6e-105 solute carrier family 35, member E1
* LOC_Os01g13800.1    K00924  367.67  385.6  2.8e-115 kinase [EC:2.7.1.-]
* LOC_Os01g13950.1    K03676   80.77   82.9   1.6e-23 glutaredoxin 3
* LOC_Os01g13970.1    K07497   14.00   25.4   5.2e-06 putative transposase
* LOC_Os01g14010.1    K25870  474.30  542.1  8.8e-163 zinc finger protein IDD3/4/5/6/7/8/9/10/11/12/13
* LOC_Os01g14020.1    K23166   35.73  221.8   7.9e-66 optic atrophy 3 protein
* LOC_Os01g14020.2    K23166   35.73  221.8   7.9e-66 optic atrophy 3 protein
* LOC_Os01g14040.1    K07560   44.00  262.1   3.8e-78 D-aminoacyl-tRNA deacylase [EC:3.1.1.96]
* LOC_Os01g14200.1    K15255  133.30  493.5  6.1e-148 ATP-dependent DNA helicase PIF1 [EC:5.6.2.3]
* LOC_Os01g14370.1    K04498  372.67  650.2  4.7e-195 E1A/CREB-binding protein [EC:2.3.1.48]
* LOC_Os01g14370.2    K04498  372.67  651.0  2.6e-195 E1A/CREB-binding protein [EC:2.3.1.48]
* LOC_Os01g14520.1    K26672  407.27  408.3  2.8e-122 S-type anion channel
* LOC_Os01g14580.1    K00031  142.20  745.8  1.6e-224 isocitrate dehydrogenase [EC:1.1.1.42]
* LOC_Os01g14610.2    K10733   60.00  288.2   4.9e-86 GINS complex subunit 2
* LOC_Os01g14610.1    K10733   60.00  288.2   4.9e-86 GINS complex subunit 2
* LOC_Os01g14630.1    K13789  364.20  448.7    1e-134 geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]
* LOC_Os01g14650.1    K20628   83.20  218.1   1.3e-64 expansin
* LOC_Os01g14660.1    K20628   83.20  194.4   1.9e-57 expansin
* LOC_Os01g14770.1    K15255  133.30  465.0  2.5e-139 ATP-dependent DNA helicase PIF1 [EC:5.6.2.3]
* LOC_Os01g14830.1    K02906  113.87  391.7  2.7e-117 large subunit ribosomal protein L3
* LOC_Os01g14840.1    K22381  131.57  516.8  1.2e-154 E3 ubiquitin-protein ligase ZNF598 [EC:2.3.2.27]
* LOC_Os01g14860.2    K00924  367.67  392.5  2.2e-117 kinase [EC:2.7.1.-]
* LOC_Os01g14860.4    K00924  367.67  371.3  5.8e-111 kinase [EC:2.7.1.-]
* LOC_Os01g14860.1    K00924  367.67  392.5  2.2e-117 kinase [EC:2.7.1.-]
* LOC_Os01g14860.3    K00924  367.67  392.5  2.2e-117 kinase [EC:2.7.1.-]
* LOC_Os01g14870.1    K13152   48.80  133.7   4.6e-39 U11/U12 small nuclear ribonucleoprotein 20 kDa protein
* LOC_Os01g14900.1    K13508  206.47  619.4  3.1e-186 glycerol-3-phosphate acyltransferase [EC:2.3.1.15 2.3.1.198]
* LOC_Os01g14932.1    K13436  392.23  396.5  1.4e-118 pto-interacting protein 1 [EC:2.7.11.1]
* LOC_Os01g14932.2    K13436  392.23  396.7  1.2e-118 pto-interacting protein 1 [EC:2.7.11.1]
* LOC_Os01g14950.1    K15042  672.70  858.9  1.5e-258 importin subunit alpha-6/7
* LOC_Os01g14980.1    K10740   33.57  117.3   3.9e-34 replication factor A3
* LOC_Os01g14980.2    K10740   33.57  117.3   3.9e-34 replication factor A3
* LOC_Os01g15010.1    K07953  151.33  413.8  1.8e-124 GTP-binding protein SAR1 [EC:3.6.5.-]
* LOC_Os01g15039.1    K01051   80.40  453.8  3.5e-136 pectinesterase [EC:3.1.1.11]
* LOC_Os01g15120.1    K08726  238.37  322.5   3.9e-96 soluble epoxide hydrolase / lipid-phosphate phosphatase [EC:3.3.2.10 3.1.3.76]
* LOC_Os01g15130.1    K08726  238.37  314.1   1.4e-93 soluble epoxide hydrolase / lipid-phosphate phosphatase [EC:3.3.2.10 3.1.3.76]
* LOC_Os01g15180.1    K07497   14.00   30.6   1.3e-07 putative transposase
* LOC_Os01g15260.1    K10418   87.70  177.2   1.9e-52 dynein light chain LC8-type
* LOC_Os01g15290.2    K02881   40.53   91.6     4e-26 large subunit ribosomal protein L18
* LOC_Os01g15290.1    K02881   40.53   91.6     4e-26 large subunit ribosomal protein L18
* LOC_Os01g15310.1    K12623   90.30  249.3   1.8e-74 U6 snRNA-associated Sm-like protein LSm4
* LOC_Os01g15470.3    K13430  484.27  619.9    2e-186 serine/threonine-protein kinase PBS1 [EC:2.7.11.1]
* LOC_Os01g15470.2    K13430  484.27  619.9    2e-186 serine/threonine-protein kinase PBS1 [EC:2.7.11.1]
* LOC_Os01g15470.1    K13430  484.27  622.6  2.9e-187 serine/threonine-protein kinase PBS1 [EC:2.7.11.1]
* LOC_Os01g15480.1    K17545  302.67 1241.6         0 serine/threonine-protein kinase ULK4 [EC:2.7.11.1]
* LOC_Os01g15490.2    K00953  173.80  408.6  3.4e-122 FAD synthetase [EC:2.7.7.2]
* LOC_Os01g15490.1    K00953  173.80  439.5  1.5e-131 FAD synthetase [EC:2.7.7.2]
* LOC_Os01g15490.3    K00953  173.80  404.1  8.1e-121 FAD synthetase [EC:2.7.7.2]
* LOC_Os01g15530.1    K23541   38.97   46.4   1.6e-12 Ca2+/H+ antiporter, TMEM165/GDT1 family
* LOC_Os01g15580.1    K13457  480.30  606.4  4.9e-182 disease resistance protein RPM1
* LOC_Os01g15580.1    K13459  442.20  471.4  3.7e-141 disease resistance protein RPS2
* LOC_Os01g15810.1    K00430  110.93  477.9    3e-143 peroxidase [EC:1.11.1.7]
* LOC_Os01g15830.1    K00430  110.93  516.9  4.8e-155 peroxidase [EC:1.11.1.7]
* LOC_Os01g15840.1    K17964  191.67  516.2  1.2e-154 leucine-rich PPR motif-containing protein, mitochondrial
* LOC_Os01g15850.1    K15170   64.73  242.4   4.4e-72 mediator of RNA polymerase II transcription subunit 27
* LOC_Os01g15860.1    K12855  379.30 1130.7         0 pre-mRNA-processing factor 6
* LOC_Os01g15910.1    K00963   73.87  481.7  2.2e-144 UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
* LOC_Os01g16000.1    K26544  167.67  211.1     2e-62 phosphatidylinositol/phosphatidylcholine transfer protein
* LOC_Os01g16010.1    K12861   53.33  310.3   8.5e-93 pre-mRNA-splicing factor SPF27
* LOC_Os01g16010.2    K12861   53.33  310.3   8.5e-93 pre-mRNA-splicing factor SPF27
* LOC_Os01g16020.1    K10960  220.50  620.9  6.4e-187 geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]
* LOC_Os01g16030.3    K07937  426.60  474.7  1.2e-142 ADP-ribosylation factor 1/2
* LOC_Os01g16030.2    K07937  426.60  474.7  1.2e-142 ADP-ribosylation factor 1/2
* LOC_Os01g16030.4    K07937  426.60  474.7  1.2e-142 ADP-ribosylation factor 1/2
* LOC_Os01g16030.1    K07937  426.60  476.9  2.5e-143 ADP-ribosylation factor 1/2
* LOC_Os01g16030.1    K07942  318.57  320.3   8.1e-96 ADP-ribosylation factor-like protein 1
* LOC_Os01g16040.1    K14684  325.30  353.8  9.1e-106 solute carrier family 25 (mitochondrial phosphate transporter), member 23/24/25/41
* LOC_Os01g16110.2    K18757  111.37  529.4    1e-158 la-related protein 1
* LOC_Os01g16110.1    K18757  111.37  528.8  1.5e-158 la-related protein 1
* LOC_Os01g16120.1    K16282  109.57  126.8   7.1e-37 E3 ubiquitin-protein ligase RHA2 [EC:2.3.2.27]
* LOC_Os01g16130.1    K15255  133.30  273.7   1.8e-81 ATP-dependent DNA helicase PIF1 [EC:5.6.2.3]
* LOC_Os01g16146.1    K06998  116.70  142.7   7.7e-42 trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]
* LOC_Os01g16170.3    K23678  100.17  222.0   9.3e-66 solute carrier family 66 (lysosomal lysine-arginine transporter), member 1
* LOC_Os01g16170.1    K23678  100.17  327.6   9.4e-98 solute carrier family 66 (lysosomal lysine-arginine transporter), member 1
* LOC_Os01g16170.2    K23678  100.17  327.8   7.8e-98 solute carrier family 66 (lysosomal lysine-arginine transporter), member 1
* LOC_Os01g16170.5    K23678  100.17  181.0   2.4e-53 solute carrier family 66 (lysosomal lysine-arginine transporter), member 1
* LOC_Os01g16170.4    K23678  100.17  222.0   9.3e-66 solute carrier family 66 (lysosomal lysine-arginine transporter), member 1
* LOC_Os01g16180.4    K23960  196.93  583.3  2.1e-175 mRNA m6A methyltransferase non-catalytic subunit
* LOC_Os01g16180.3    K23960  196.93  583.3  2.1e-175 mRNA m6A methyltransferase non-catalytic subunit
* LOC_Os01g16180.1    K23960  196.93  583.5  1.9e-175 mRNA m6A methyltransferase non-catalytic subunit
* LOC_Os01g16180.2    K23960  196.93  583.5  1.9e-175 mRNA m6A methyltransferase non-catalytic subunit
* LOC_Os01g16190.1    K03030  248.77  708.9  2.5e-213 26S proteasome regulatory subunit N11
* LOC_Os01g16240.1    K02183  201.03  324.8   2.3e-97 calmodulin
* LOC_Os01g16240.1    K13448  152.17  207.3   1.8e-61 calcium-binding protein CML
* LOC_Os01g16290.1    K02470  970.80 1046.0         0 DNA gyrase subunit B [EC:5.6.2.2]
* LOC_Os01g16310.1    K15922  442.33  639.3  3.7e-192 sulfoquinovosidase [EC:3.2.1.199]
* LOC_Os01g16330.1    K25216  138.80  310.0   1.8e-92 ubiquitin-associated domain-containing protein 2
* LOC_Os01g16350.2    K01640  147.70  590.2  1.8e-177 hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]
* LOC_Os01g16350.1    K01640  147.70  591.8  6.3e-178 hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]
* LOC_Os01g16354.1    K23460  285.27  318.8     4e-95 Rab proteins geranylgeranyltransferase component A
* LOC_Os01g16370.2    K13457  480.30  695.4  6.4e-209 disease resistance protein RPM1
* LOC_Os01g16370.1    K13457  480.30  695.4  6.4e-209 disease resistance protein RPM1
* LOC_Os01g16390.1    K13457  480.30  648.1  1.3e-194 disease resistance protein RPM1
* LOC_Os01g16400.1    K13457  480.30  745.7  4.1e-224 disease resistance protein RPM1
* LOC_Os01g16414.1    K11662  320.33  556.1  6.1e-167 actin-related protein 6
* LOC_Os01g16414.2    K11662  320.33  556.1  6.1e-167 actin-related protein 6
* LOC_Os01g16414.3    K11662  320.33  556.1  6.1e-167 actin-related protein 6
* LOC_Os01g16414.4    K11662  320.33  556.1  6.1e-167 actin-related protein 6
* LOC_Os01g16450.1    K00430  110.93  444.4  4.3e-133 peroxidase [EC:1.11.1.7]
* LOC_Os01g16520.1    K01885  308.97  328.6   6.7e-98 glutamyl-tRNA synthetase [EC:6.1.1.17]
* LOC_Os01g16530.1    K01358   48.87  238.2   9.4e-71 ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
* LOC_Os01g16540.1    K10686  286.23  663.3  1.5e-199 NEDD8-activating enzyme E1 [EC:6.2.1.64]
* LOC_Os01g16600.1    K20782  213.90  613.2  2.5e-184 hydroxyproline O-arabinosyltransferase [EC:2.4.2.58]
* LOC_Os01g16640.1    K10881   26.13   82.8   1.5e-23 26 proteasome complex subunit DSS1
* LOC_Os01g16650.1    K06688  183.90  316.6   9.3e-95 ubiquitin-conjugating enzyme E2 C [EC:2.3.2.23]
* LOC_Os01g16660.1    K17604  159.30  576.1  8.4e-173 zinc finger SWIM domain-containing protein 3
* LOC_Os01g16714.1    K11816  311.43  564.2  1.4e-169 indole-3-pyruvate monooxygenase [EC:1.14.13.168]
* LOC_Os01g16740.1    K17604  159.30  446.9  8.1e-134 zinc finger SWIM domain-containing protein 3
* LOC_Os01g16750.1    K11816  311.43  537.9  1.3e-161 indole-3-pyruvate monooxygenase [EC:1.14.13.168]
* LOC_Os01g16770.1    K20628   83.20  229.4   4.7e-68 expansin
* LOC_Os01g16850.1    K11593  427.17  634.8  1.7e-190 eukaryotic translation initiation factor 2C
* LOC_Os01g16870.1    K11593  427.17  934.1  6.9e-281 eukaryotic translation initiation factor 2C
* LOC_Os01g16870.4    K11593  427.17  934.1  6.9e-281 eukaryotic translation initiation factor 2C
* LOC_Os01g16870.2    K11593  427.17  934.1  6.9e-281 eukaryotic translation initiation factor 2C
* LOC_Os01g16870.3    K11593  427.17  934.1  6.9e-281 eukaryotic translation initiation factor 2C
* LOC_Os01g16890.2    K02908   40.43  232.0     4e-69 large subunit ribosomal protein L30e
* LOC_Os01g16890.1    K02908   40.43  249.4   1.9e-74 large subunit ribosomal protein L30e
* LOC_Os01g16890.3    K02908   40.43  164.3     2e-48 large subunit ribosomal protein L30e
* LOC_Os01g16900.1    K00030  436.33  615.4  6.2e-185 isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
* LOC_Os01g16900.3    K00030  436.33  573.7  2.7e-172 isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
* LOC_Os01g16900.2    K00030  436.33  615.4  6.2e-185 isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
* LOC_Os01g16910.1    K11518   66.33  346.6  1.4e-103 mitochondrial import receptor subunit TOM40
* LOC_Os01g16930.1    K04505  215.03  440.2  3.9e-132 presenilin 1 [EC:3.4.23.-]
* LOC_Os01g16940.1    K11755  203.67  306.0   1.7e-91 phosphoribosyl-AMP cyclohydrolase / phosphoribosyl-ATP pyrophosphohydrolase [EC:3.5.4.19 3.6.1.31]
* LOC_Os01g16950.1    K11982  131.07  194.2   1.9e-57 E3 ubiquitin-protein ligase RNF115/126 [EC:2.3.2.27]
* LOC_Os01g16960.1    K00873   59.30  693.9  1.1e-208 pyruvate kinase [EC:2.7.1.40]
* LOC_Os01g16960.2    K00873   59.30  519.1  8.9e-156 pyruvate kinase [EC:2.7.1.40]
* LOC_Os01g16970.1    K08288  202.43  499.3  1.1e-149 protein kinase C substrate 80K-H
* LOC_Os01g16970.3    K08288  202.43  506.4  7.8e-152 protein kinase C substrate 80K-H
* LOC_Os01g16970.2    K08288  202.43  478.4  2.4e-143 protein kinase C substrate 80K-H
* LOC_Os01g17150.1    K19034   87.93  162.4   9.4e-48 50S ribosomal protein 5
* LOC_Os01g17170.1    K04035  341.70  658.7  1.2e-198 magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [EC:1.14.13.81]
* LOC_Os01g17170.2    K04035  341.70  536.8  1.4e-161 magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [EC:1.14.13.81]
* LOC_Os01g17180.1    K12176  183.73  801.2  5.9e-241 COP9 signalosome complex subunit 2
* LOC_Os01g17190.1    K02183  201.03  321.9   1.7e-96 calmodulin
* LOC_Os01g17190.1    K13448  152.17  208.0   1.2e-61 calcium-binding protein CML
* LOC_Os01g17240.1    K08193  638.80  654.1  1.6e-196 MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), other
* LOC_Os01g17260.1    K14431  129.13  579.3  3.2e-174 transcription factor TGA
* LOC_Os01g17260.2    K14431  129.13  579.3  3.2e-174 transcription factor TGA
* LOC_Os01g17279.1    K18417  259.33  409.3  1.2e-122 ERI1 exoribonuclease 2 [EC:3.1.-.-]
* LOC_Os01g17330.2    K03264   81.60  475.1  6.4e-143 translation initiation factor 6
* LOC_Os01g17330.1    K03264   81.60  481.2  8.9e-145 translation initiation factor 6
* LOC_Os01g17402.2    K21777  346.13  493.0  7.1e-148 G2/mitotic-specific cyclin-B, other
* LOC_Os01g17402.1    K21777  346.13  491.0  2.9e-147 G2/mitotic-specific cyclin-B, other
* LOC_Os01g17430.1    K17301  260.17 1398.2         0 coatomer subunit beta
* LOC_Os01g18050.1    K07375  503.47 1078.6         0 tubulin beta
* LOC_Os01g18070.1    K01726  178.70  427.3  2.6e-128 gamma-carbonic anhydrase [EC:4.2.1.-]
* LOC_Os01g18100.1    K09651  115.73  328.0   5.1e-98 rhomboid-related protein 4 [EC:3.4.21.105]
